Leibniz, Multi-Threaded (sec, thread_count_:11, n:100000)  == 0.004795
Leibniz, Multi-Threaded (sec, thread_count_:12, n:100000)  == 0.005241
Leibniz, Multi-Threaded (sec, thread_count_:13, n:100000)  == 0.005552
Leibniz, Multi-Threaded (sec, thread_count_:14, n:100000)  == 0.005906
Leibniz, Multi-Threaded (sec, thread_count_:15, n:100000)  == 0.006334
Leibniz, Multi-Threaded (sec, thread_count_:16, n:100000)  == 0.006621
Leibniz, Multi-Threaded (sec, thread_count_:17, n:100000)  == 0.007046
Leibniz, Multi-Threaded (sec, thread_count_:18, n:100000)  == 0.007390
Leibniz, Multi-Threaded (sec, thread_count_:19, n:100000)  == 0.007735
Leibniz, Multi-Threaded (sec, thread_count_:20, n:100000)  == 0.008001
Leibniz, Multi-Threaded (sec, thread_count_:21, n:100000)  == 0.008307
Leibniz, Multi-Threaded (sec, thread_count_:22, n:100000)  == 0.008552
Leibniz, Multi-Threaded (sec, thread_count_:23, n:100000)  == 0.008914
Leibniz, Multi-Threaded (sec, thread_count_:24, n:100000)  == 0.009174
Leibniz, Multi-Threaded (sec, thread_count_:25, n:100000)  == 0.009407
Leibniz, Multi-Threaded (sec, thread_count_:26, n:100000)  == 0.011460
Leibniz, Multi-Threaded (sec, thread_count_:27, n:100000)  == 0.011709
Leibniz, Multi-Threaded (sec, thread_count_:28, n:100000)  == 0.014192
Leibniz, Multi-Threaded (sec, thread_count_:1, n:200000)  == 0.000867
Leibniz, Multi-Threaded (sec, thread_count_:2, n:200000)  == 0.001709
Leibniz, Multi-Threaded (sec, thread_count_:3, n:200000)  == 0.002305
Leibniz, Multi-Threaded (sec, thread_count_:4, n:200000)  == 0.002818
Leibniz, Multi-Threaded (sec, thread_count_:5, n:200000)  == 0.003280
Leibniz, Multi-Threaded (sec, thread_count_:6, n:200000)  == 0.003647
Leibniz, Multi-Threaded (sec, thread_count_:7, n:200000)  == 0.003981
Leibniz, Multi-Threaded (sec, thread_count_:8, n:200000)  == 0.004319
Leibniz, Multi-Threaded (sec, thread_count_:9, n:200000)  == 0.004724
Leibniz, Multi-Threaded (sec, thread_count_:10, n:200000)  == 0.005084
Leibniz, Multi-Threaded (sec, thread_count_:11, n:200000)  == 0.005378
Leibniz, Multi-Threaded (sec, thread_count_:12, n:200000)  == 0.005669
Leibniz, Multi-Threaded (sec, thread_count_:13, n:200000)  == 0.005940
Leibniz, Multi-Threaded (sec, thread_count_:14, n:200000)  == 0.006207
Leibniz, Multi-Threaded (sec, thread_count_:15, n:200000)  == 0.006534
Leibniz, Multi-Threaded (sec, thread_count_:16, n:200000)  == 0.006848
Leibniz, Multi-Threaded (sec, thread_count_:17, n:200000)  == 0.007118
Leibniz, Multi-Threaded (sec, thread_count_:18, n:200000)  == 0.007387
Leibniz, Multi-Threaded (sec, thread_count_:19, n:200000)  == 0.007663
Leibniz, Multi-Threaded (sec, thread_count_:20, n:200000)  == 0.007911
Leibniz, Multi-Threaded (sec, thread_count_:21, n:200000)  == 0.008167
Leibniz, Multi-Threaded (sec, thread_count_:22, n:200000)  == 0.008450
Leibniz, Multi-Threaded (sec, thread_count_:23, n:200000)  == 0.008709
Leibniz, Multi-Threaded (sec, thread_count_:24, n:200000)  == 0.008951
Leibniz, Multi-Threaded (sec, thread_count_:25, n:200000)  == 0.009206
Leibniz, Multi-Threaded (sec, thread_count_:26, n:200000)  == 0.009453
Leibniz, Multi-Threaded (sec, thread_count_:27, n:200000)  == 0.010599
Leibniz, Multi-Threaded (sec, thread_count_:28, n:200000)  == 0.011281
Leibniz, Multi-Threaded (sec, thread_count_:1, n:300000)  == 0.001299
Leibniz, Multi-Threaded (sec, thread_count_:2, n:300000)  == 0.002462
Leibniz, Multi-Threaded (sec, thread_count_:3, n:300000)  == 0.003132
Leibniz, Multi-Threaded (sec, thread_count_:4, n:300000)  == 0.003666
Leibniz, Multi-Threaded (sec, thread_count_:5, n:300000)  == 0.004147
Leibniz, Multi-Threaded (sec, thread_count_:6, n:300000)  == 0.004639
Leibniz, Multi-Threaded (sec, thread_count_:7, n:300000)  == 0.005104
Leibniz, Multi-Threaded (sec, thread_count_:8, n:300000)  == 0.005480
Leibniz, Multi-Threaded (sec, thread_count_:9, n:300000)  == 0.005890
Leibniz, Multi-Threaded (sec, thread_count_:10, n:300000)  == 0.006245
Leibniz, Multi-Threaded (sec, thread_count_:11, n:300000)  == 0.006578
Leibniz, Multi-Threaded (sec, thread_count_:12, n:300000)  == 0.006895
Leibniz, Multi-Threaded (sec, thread_count_:13, n:300000)  == 0.007264
Leibniz, Multi-Threaded (sec, thread_count_:14, n:300000)  == 0.007589
Leibniz, Multi-Threaded (sec, thread_count_:15, n:300000)  == 0.007876
Leibniz, Multi-Threaded (sec, thread_count_:16, n:300000)  == 0.008239
Leibniz, Multi-Threaded (sec, thread_count_:17, n:300000)  == 0.008586
Leibniz, Multi-Threaded (sec, thread_count_:18, n:300000)  == 0.008862
Leibniz, Multi-Threaded (sec, thread_count_:19, n:300000)  == 0.009147
